movie_id,title,production_year,votes,vote_mean,vote_sd,theat_gross_dollars,theat_last_date,role,count,count_male,mean_age,wmean_age,count_female,status,bechdel_test
894190,Wild Target,2010,29542,6.25,2.211,117190,2010-12-12,actsin,14,11,46.5714285714286,45.6197791333808,3,mixed,1
894190,Wild Target,2010,29542,6.25,2.211,117190,2010-12-12,director,1,1,67,67,0,all male,1
894190,Wild Target,2010,29542,6.25,2.211,117190,2010-12-12,writer,1,1,46,46,0,all male,1
894199,Wild Things,1998,89639,6.05,2.121,29753944,1998-06-28,actsin,19,11,36.6842105263158,36.9866540607716,8,mixed,3
894199,Wild Things,1998,89639,6.05,2.121,29753944,1998-06-28,director,1,1,48,48,0,all male,3
894199,Wild Things,1998,89639,6.05,2.121,29753944,1998-06-28,writer,1,1,51,51,0,all male,3
894255,Wild Wild West,1999,127970,5.23,2.173,113805681,2016-08-02,actsin,32,26,41.0625,42.2111055817142,6,mixed,2
894255,Wild Wild West,1999,127970,5.23,2.173,113805681,2016-08-02,director,1,1,46,46,0,all male,2
894255,Wild Wild West,1999,127970,5.23,2.173,113805681,2016-08-02,writer,1,1,48,48,0,all male,2
894315,Wilde,1997,12128,6.35,2.264,2157701,1998-11-08,actsin,36,29,44.1944444444444,41.8640436412004,7,mixed,3
894315,Wilde,1997,12128,6.35,2.264,2157701,1998-11-08,director,1,1,37,37,0,all male,3
894315,Wilde,1997,12128,6.35,2.264,2157701,1998-11-08,writer,1,1,62,62,0,all male,3
894909,Willow,1988,79954,6.88,2.386,57269863,2016-08-02,actsin,35,24,35.9714285714286,37.7840349269547,11,mixed,3
894909,Willow,1988,79954,6.88,2.386,57269863,2016-08-02,director,1,1,34,34,0,all male,3
894909,Willow,1988,79954,6.88,2.386,57269863,2016-08-02,writer,1,1,44,44,0,all male,3
895004,Willy Wonka & the Chocolate Factory,1971,125433,6.95,2.477,4e+06,2016-08-02,actsin,38,29,43.0526315789474,37.122498286479,9,mixed,2
895004,Willy Wonka & the Chocolate Factory,1971,125433,6.95,2.477,4e+06,2016-08-02,director,1,1,43,43,0,all male,2
895004,Willy Wonka & the Chocolate Factory,1971,125433,6.95,2.477,4e+06,2016-08-02,writer,3,3,47,47.6378585147717,0,all male,2
895066,Wimbledon,2004,51118,6.05,2.121,17001133,2004-11-11,actsin,37,21,45.4594594594595,40.6028711501728,16,mixed,3
895066,Wimbledon,2004,51118,6.05,2.121,17001133,2004-11-11,director,1,1,58,58,0,all male,3
895066,Wimbledon,2004,51118,6.05,2.121,17001133,2004-11-11,writer,1,1,48,48,0,all male,3
895107,Win Win,2011,48138,6.41,2.167,10179275,2011-07-17,actsin,14,8,43.8571428571429,48.5399722467849,6,mixed,3
895107,Win Win,2011,48138,6.41,2.167,10179275,2011-07-17,director,1,1,45,45,0,all male,3
895107,Win Win,2011,48138,6.41,2.167,10179275,2011-07-17,writer,2,2,45,45,0,all male,3
895488,Wing Commander,1999,14576,4.41,2.516,11576087,1999-05-30,actsin,22,21,39.6818181818182,36.5671804796474,1,mixed,2
895488,Wing Commander,1999,14576,4.41,2.516,11576087,1999-05-30,director,1,1,31,31,0,all male,2
895488,Wing Commander,1999,14576,4.41,2.516,11576087,1999-05-30,writer,2,2,31,31,0,all male,2
895807,Winnie the Pooh,2011,15297,6.88,2.386,26692846,2016-08-02,actsin,15,14,58.2,62.515701144803,1,mixed,0
895807,Winnie the Pooh,2011,15297,6.88,2.386,26692846,2016-08-02,writer,1,1,100,100,0,all male,0
896143,Winter's Bone,2010,110271,6.59,2.289,6531503,2011-04-21,actsin,8,3,39.875,30.9300006297943,5,mixed,3
896143,Winter's Bone,2010,110271,6.59,2.289,6531503,2011-04-21,director,1,0,47,47,1,all female,3
896143,Winter's Bone,2010,110271,6.59,2.289,6531503,2011-04-21,writer,1,0,47,47,1,all female,3
896163,Winter's Tale,2014,40298,6.38,2.306,12600231,2015-02-08,actsin,31,25,42.3870967741936,38.0204922404967,6,mixed,3
896163,Winter's Tale,2014,40298,6.38,2.306,12600231,2015-02-08,director,1,1,52,52,0,all male,3
896163,Winter's Tale,2014,40298,6.38,2.306,12600231,2015-02-08,writer,1,1,52,52,0,all male,3
896550,Wish I Was Here,2014,28266,6.17,2.315,3588432,2014-09-07,actsin,23,20,40.0869565217391,40.3369855298532,3,mixed,3
896550,Wish I Was Here,2014,28266,6.17,2.315,3588432,2014-09-07,director,1,1,39,39,0,all male,3
896550,Wish I Was Here,2014,28266,6.17,2.315,3588432,2014-09-07,writer,1,1,39,39,0,all male,3
897252,Withnail & I,1987,30237,7.23,2.627,1544889,2016-08-02,actsin,11,9,48.5454545454545,38.1687579964268,2,mixed,1
897252,Withnail & I,1987,30237,7.23,2.627,1544889,2016-08-02,director,1,1,41,41,0,all male,1
897252,Withnail & I,1987,30237,7.23,2.627,1544889,2016-08-02,writer,1,1,41,41,0,all male,1
897288,Without a Paddle,2004,36978,5.95,2.202,58156435,2005-01-09,actsin,18,11,36,32.0433069698909,7,mixed,3
897288,Without a Paddle,2004,36978,5.95,2.202,58156435,2005-01-09,director,1,1,42,42,0,all male,3
897288,Without a Paddle,2004,36978,5.95,2.202,58156435,2005-01-09,writer,3,3,37.6666666666667,40.4424933335895,0,all male,3
